filepath,trackNum,instrument,isDrum,hasTimeSignatures,medianMetricDepth,tpq,velocity_per_track,onset_per_track,velocity_entropy_per_track,onset_entropy_per_track
groove/drummer1/eval_session/1_funk-groove1_138_beat_4-4.mid,0,0,TRUE,TRUE,12,480,[90],[44],[2.011224814117841],[2.1989597408583954]
groove/drummer1/eval_session/10_soul-groove10_102_beat_4-4.mid,0,0,TRUE,TRUE,12,480,[90],[37],[2.133472091855594],[2.131568897848801]
groove/drummer1/eval_session/2_funk-groove2_105_beat_4-4.mid,0,0,TRUE,TRUE,12,480,[100],[44],[1.8752700960796793],[2.1583721469281922]
groove/drummer1/eval_session/3_soul-groove3_86_beat_4-4.mid,0,0,TRUE,TRUE,12,480,[82],[39],[2.1685106244215646],[2.265800517221106]
groove/drummer1/eval_session/4_soul-groove4_80_beat_4-4.mid,0,0,TRUE,TRUE,12,480,[84],[38],[1.9384502835488147],[2.167930687147944]
groove/drummer1/eval_session/5_funk-groove5_84_beat_4-4.mid,0,0,TRUE,TRUE,12,480,[79],[38],[1.9833341862110907],[2.322522099850185]
groove/drummer1/eval_session/6_hiphop-groove6_87_beat_4-4.mid,0,0,TRUE,TRUE,12,480,[106],[43],[1.927759738083896],[2.2123681044599146]
groove/drummer1/eval_session/7_pop-groove7_138_beat_4-4.mid,0,0,TRUE,TRUE,12,480,[84],[28],[1.972311555393777],[2.0484238270150983]
groove/drummer1/eval_session/8_rock-groove8_65_beat_4-4.mid,0,0,TRUE,TRUE,12,480,[76],[41],[2.239116877678967],[2.1429064050084885]
groove/drummer1/eval_session/9_soul-groove9_105_beat_4-4.mid,0,0,TRUE,TRUE,12,480,[47],[47],[1.854148461588703],[2.0760069321120564]
groove/drummer1/session1/1_funk_80_beat_4-4.mid,0,0,TRUE,TRUE,12,480,[86],[43],[2.048426599124447],[2.2905247029850404]
groove/drummer1/session1/10_jazz-funk_116_fill_4-4.mid,0,0,TRUE,TRUE,12,480,[11],[11],[0.6365141682948128],[1.2148896539491203]
groove/drummer1/session1/100_neworleans-secondline_94_beat_4-4.mid,0,0,TRUE,TRUE,12,480,[120],[44],[2.0067042361592984],[2.260617574459291]
groove/drummer1/session1/101_dance-disco_120_beat_4-4.mid,0,0,TRUE,TRUE,12,480,[122],[56],[1.9974663004480298],[2.211324980701442]
groove/drummer1/session1/102_funk_95_beat_4-4.mid,0,0,TRUE,TRUE,12,480,[122],[54],[2.1167667946223445],[2.217054268092371]
groove/drummer1/session1/103_funk_95_fill_4-4.mid,0,0,TRUE,TRUE,12,480,[14],[14],[1.3321790402101223],[2.12343225891592]
groove/drummer1/session1/104_funk_95_fill_4-4.mid,0,0,TRUE,TRUE,12,480,[12],[7],[1.0986122886681096],[1.8195113489698562]
groove/drummer1/session1/105_funk_95_fill_4-4.mid,0,0,TRUE,TRUE,12,480,[16],[15],[1.5607104090414068],[1.9273921261392741]
groove/drummer1/session1/106_funk_95_fill_4-4.mid,0,0,TRUE,TRUE,12,480,[16],[12],[1.3321790402101223],[1.8778382404072833]
groove/drummer1/session1/107_funk_95_fill_4-4.mid,0,0,TRUE,TRUE,12,480,[15],[13],[0.9502705392332345],[2.11491944727257]
groove/drummer1/session1/108_funk_95_fill_4-4.mid,0,0,TRUE,TRUE,12,480,[14],[15],[1.2130075659799042],[1.8848713335781604]
