filepath,trackNum,instrument,isDrum,hasTimeSignatures,medianMetricDepth,tpq,cleaned_track,velocity_per_track,onset_per_track,velocity_entropy_per_track,onset_entropy_per_track
"Eval-subsets/ATEPP-1/Alexander_Scriabin/10_Mazurkas,_Op.3_(1889)/No.10_in_E_Flat_Minor/00548.mid",0,0,FALSE,TRUE,12,384,FALSE,[67],[52],[2.2513916332885695],[2.3856057379435764]
"Eval-subsets/ATEPP-1/Alexander_Scriabin/10_Mazurkas,_Op.3_(1889)/No.6_in_C_Sharp_Minor_(Scherzando)/00549.mid",0,0,FALSE,TRUE,12,384,FALSE,[72],[51],[2.275976263708524],[2.3729620527447355]
"Eval-subsets/ATEPP-1/Alexander_Scriabin/10_Mazurkas,_Op.3_(1889)/No.7_in_E_Minor_(Con_passione)/00550.mid",0,0,FALSE,TRUE,12,384,FALSE,[65],[52],[2.2255643143716792],[2.378240210174188]
"Eval-subsets/ATEPP-1/Alexander_Scriabin/12_Etudes,_Op._8/No._10_in_D-Flat_Major/00479.mid",0,0,FALSE,TRUE,12,384,FALSE,[64],[52],[2.2133501604129866],[2.340398356508856]
"Eval-subsets/ATEPP-1/Alexander_Scriabin/12_Etudes,_Op._8/No._10_in_D-Flat_Major/00480.mid",0,0,FALSE,TRUE,12,384,FALSE,[65],[52],[2.223620936634598],[2.3132278471395806]
"Eval-subsets/ATEPP-1/Alexander_Scriabin/12_Etudes,_Op._8/No._10_in_D-Flat_Major/00481.mid",0,0,FALSE,TRUE,12,384,FALSE,[73],[52],[2.2791199887867832],[2.403009655326497]
"Eval-subsets/ATEPP-1/Alexander_Scriabin/12_Etudes,_Op._8/No._10_in_D-Flat_Major/00482.mid",0,0,FALSE,TRUE,12,384,FALSE,[71],[52],[2.189013122827262],[2.4007532001243583]
"Eval-subsets/ATEPP-1/Alexander_Scriabin/12_Etudes,_Op._8/No._11_in_B-Flat_Minor/00458.mid",0,0,FALSE,TRUE,12,384,FALSE,[60],[52],[2.25169968711424],[2.38925377220929]
"Eval-subsets/ATEPP-1/Alexander_Scriabin/12_Etudes,_Op._8/No._11_in_B-Flat_Minor/00459.mid",0,0,FALSE,TRUE,12,384,FALSE,[77],[52],[2.245965296872927],[2.380762189170793]
"Eval-subsets/ATEPP-1/Alexander_Scriabin/12_Etudes,_Op._8/No._11_in_B-Flat_Minor/00460.mid",0,0,FALSE,TRUE,12,384,FALSE,[76],[51],[2.200512686653247],[2.2523992152156884]
"Eval-subsets/ATEPP-1/Alexander_Scriabin/12_Etudes,_Op._8/No._11_in_B-Flat_Minor/00461.mid",0,0,FALSE,TRUE,12,384,FALSE,[61],[52],[2.2138374364593116],[2.2403031963231474]
"Eval-subsets/ATEPP-1/Alexander_Scriabin/12_Etudes,_Op._8/No._11_in_B-Flat_Minor/00462.mid",0,0,FALSE,TRUE,12,384,FALSE,[70],[48],[2.056350683642706],[2.320712794437422]
"Eval-subsets/ATEPP-1/Alexander_Scriabin/12_Etudes,_Op._8/No._11_in_B-Flat_Minor/00463.mid",0,0,FALSE,TRUE,12,384,FALSE,[77],[52],[2.1756579577852433],[2.3315443084031955]
"Eval-subsets/ATEPP-1/Alexander_Scriabin/12_Etudes,_Op._8/No._11_in_B-Flat_Minor/00464.mid",0,0,FALSE,TRUE,12,384,FALSE,[73],[50],[2.255877509678344],[2.2975142605923304]
"Eval-subsets/ATEPP-1/Alexander_Scriabin/12_Etudes,_Op._8/No._12_in_D-Sharp_Minor/00465.mid",0,0,FALSE,TRUE,12,384,FALSE,[70],[51],[2.2926009535764353],[2.5426747841158557]
"Eval-subsets/ATEPP-1/Alexander_Scriabin/12_Etudes,_Op._8/No._12_in_D-Sharp_Minor/00466.mid",0,0,FALSE,TRUE,12,384,FALSE,[67],[51],[2.2693770050424575],[2.550180498070988]
"Eval-subsets/ATEPP-1/Alexander_Scriabin/12_Etudes,_Op._8/No._12_in_D-Sharp_Minor/00467.mid",0,0,FALSE,TRUE,12,384,FALSE,[75],[52],[2.316759266660989],[2.555398172067178]
