filepath,trackNum,instrument,isDrum,hasTimeSignatures,medianMetricDepth,tpq,velocity_per_track,onset_per_track,velocity_entropy_per_track,onset_entropy_per_track,"Ground Truth (0=Score, 1=Performance)"
./asap-dataset-master/Bach/Fugue/bwv_846/midi_score.mid,0,0,FALSE,TRUE,2,480,1,5,0.0,2.38914001608635,0
./asap-dataset-master/Bach/Fugue/bwv_846/midi_score.mid,1,0,FALSE,TRUE,2,480,1,1,0.0,2.38914001608635,0
./asap-dataset-master/Bach/Fugue/bwv_848/midi_score.mid,0,0,FALSE,TRUE,2,480,1,1,0.0,0.0,0
./asap-dataset-master/Bach/Fugue/bwv_848/midi_score.mid,1,0,FALSE,TRUE,2,480,1,1,0.0,0.0,0
./asap-dataset-master/Bach/Fugue/bwv_854/midi_score.mid,0,0,FALSE,TRUE,2,480,1,1,0.0,0.0,0
./asap-dataset-master/Bach/Fugue/bwv_854/midi_score.mid,1,0,FALSE,TRUE,2,480,1,1,0.0,0.0,0
./asap-dataset-master/Bach/Fugue/bwv_856/midi_score.mid,0,0,FALSE,TRUE,2,480,1,3,0.0,1.82587701844185,0
./asap-dataset-master/Bach/Fugue/bwv_856/midi_score.mid,1,0,FALSE,TRUE,2,480,1,3,0.0,1.74307859413723,0
./asap-dataset-master/Bach/Fugue/bwv_857/midi_score.mid,0,0,FALSE,TRUE,2,480,1,1,0.0,0.0,0
./asap-dataset-master/Bach/Fugue/bwv_857/midi_score.mid,1,0,FALSE,TRUE,2,480,1,2,0.0,1.32966134885476,0
./asap-dataset-master/Bach/Fugue/bwv_858/midi_score.mid,0,0,FALSE,TRUE,2,480,1,7,0.0,2.0647823991202,0
./asap-dataset-master/Bach/Fugue/bwv_858/midi_score.mid,1,0,FALSE,TRUE,2,480,1,3,0.0,2.03260278156993,0
./asap-dataset-master/Bach/Fugue/bwv_860/midi_score.mid,0,0,FALSE,TRUE,2,480,1,3,0.0,1.98120683826989,0
./asap-dataset-master/Bach/Fugue/bwv_860/midi_score.mid,1,0,FALSE,TRUE,2,480,1,1,0.0,1.98120683826989,0
./asap-dataset-master/Bach/Fugue/bwv_862/midi_score.mid,0,0,FALSE,TRUE,2,480,1,1,0.0,0.0,0
./asap-dataset-master/Bach/Fugue/bwv_862/midi_score.mid,1,0,FALSE,TRUE,2,480,1,1,0.0,0.0,0
./asap-dataset-master/Bach/Fugue/bwv_863/midi_score.mid,0,0,FALSE,TRUE,0,480,1,1,0.0,0.0,0
./asap-dataset-master/Bach/Fugue/bwv_863/midi_score.mid,1,0,FALSE,TRUE,2,480,1,1,0.0,0.0,0
./asap-dataset-master/Bach/Fugue/bwv_864/midi_score.mid,0,0,FALSE,TRUE,2,480,1,3,0.0,1.64884707167248,0
./asap-dataset-master/Bach/Fugue/bwv_864/midi_score.mid,1,0,FALSE,TRUE,2,480,1,1,0.0,1.64884707167248,0
./asap-dataset-master/Bach/Fugue/bwv_865/midi_score.mid,0,0,FALSE,TRUE,2,480,1,3,0.0,1.64884707167248,0
./asap-dataset-master/Bach/Fugue/bwv_865/midi_score.mid,1,0,FALSE,TRUE,2,480,1,3,0.0,1.6984638231081,0
./asap-dataset-master/Bach/Fugue/bwv_866/midi_score.mid,0,0,FALSE,TRUE,2,480,1,1,0.0,0.0,0
./asap-dataset-master/Bach/Fugue/bwv_866/midi_score.mid,1,0,FALSE,TRUE,2,480,1,1,0.0,0.0,0
./asap-dataset-master/Bach/Fugue/bwv_867/midi_score.mid,0,0,FALSE,TRUE,0,480,1,3,0.0,1.42637027008357,0
./asap-dataset-master/Bach/Fugue/bwv_867/midi_score.mid,1,0,FALSE,TRUE,0,480,1,1,0.0,1.42637027008357,0
./asap-dataset-master/Bach/Fugue/bwv_868/midi_score.mid,0,0,FALSE,TRUE,2,480,1,1,0.0,0.0,0
./asap-dataset-master/Bach/Fugue/bwv_868/midi_score.mid,1,0,FALSE,TRUE,2,480,1,3,0.0,1.32966134885476,0
./asap-dataset-master/Bach/Fugue/bwv_870/midi_score.mid,0,0,FALSE,TRUE,2,480,1,3,0.0,1.79453861515669,0
./asap-dataset-master/Bach/Fugue/bwv_870/midi_score.mid,1,0,FALSE,TRUE,2,480,1,1,0.0,1.79453861515669,0
./asap-dataset-master/Bach/Fugue/bwv_873/midi_score.mid,0,0,FALSE,TRUE,4,480,1,2,0.0,2.09464093882606,0
./asap-dataset-master/Bach/Fugue/bwv_873/midi_score.mid,1,0,FALSE,TRUE,4,480,1,3,0.0,2.04150721858009,0
./asap-dataset-master/Bach/Fugue/bwv_874/midi_score.mid,0,0,FALSE,TRUE,0,480,1,1,0.0,0.0,0
./asap-dataset-master/Bach/Fugue/bwv_874/midi_score.mid,1,0,FALSE,TRUE,0,480,1,1,0.0,0.0,0
